"redni broj","Vrh","planina ili predeo","NV","SGŠ","IGD","sekcija","napomene"
"881","Zbegovište","Gledicke planine","537","43°40,820‘","21°01,651‘","531 3 Kruševac","Šumadija"
"882","(Jecmenište)","Gledicke planine","531","43°42,806‘","21°02,057‘","531 3 Kruševac","Šumadija"
"883","Preslo","Gledicke planine","522","43°44,813‘","21°01,976‘","531 3 Kruševac","Šumadija"
"884","Siva cuka","Gledicke planine","522","43°43,190‘","21°02,044‘","531 3 Kruševac","Šumadija"
"885","Kremenac","Gledicke planine","503","43°56,216‘","20°50,626‘","530 2 Kraljevo","Šumadija"
"886","Crni vrh","Ješevac","902","44°00,282‘","22°33,490‘","480 3 Kragujevac","Šumadija"
"887","Mali Crni vrh","Ješevac","880","43°59,949‘","20°33,219‘","530 1 Kraljevo","Šumadija"
"888","Bukovik","Ješevac","851","43°57,211‘","20°31,534‘","530 1 Kraljevo","Šumadija"
"889","Ostrica","Ješevac","802","43°56,043‘","20°32,191‘","530 1 Kraljevo","Šumadija"
"890","Veliki vrh","Ješevac","766","43°59,658‘","20°35,086‘","530 1 Kraljevo","Šumadija"
"891","Pavlovaca","Ješevac","741","44°00,307‘","20°35,538‘","480 3 Kragujevac","Šumadija"
"892","Trijeska","Ješevac","736","44°00,208‘","20°31,343‘","480 3 Kragujevac","Šumadija"
"893","Klik Grabovacki","Ješevac","722","44°01,102‘","20°32,443‘","480 3 Kragujevac","Šumadija"
"894","Tipac","Ješevac","710","44°00,538‘","20°35,996‘","480 3 Kragujevac","Šumadija"
"895","Rastovljak","Ješevac","700","43°58,942‘","20°31,624‘","530 1 Kraljevo","Šumadija"
"896","Cerje","Ješevac","695","43°59,906‘","20°36,741‘","530 1 Kraljevo","Šumadija"
"897","Veliki vrh","Ješevac","692","44°00,864‘","20°31,193‘","480 3 Kragujevac","Šumadija"
"898","Veliki vrh Grabovacki (Rilova ploca)","Ješevac","692","44°00,864‘","20°31,183‘","480 3 Kragujevac","Šumadija"
"899","Veliki vrh (Marino brdo)","Ješevac","673","43°56,083‘","20°35,490‘","530 1 Kraljevo","Šumadija"
"900","Lozovac","Ješevac","671","43°59,088‘","20°35,521‘","530 1 Kraljevo","Šumadija"
"901","Stamatovica","Ješevac","671","43°58,903‘","20°30,708‘","530 1 Kraljevo","Šumadija"
"902","Ješevacka kosa","Ješevac","663","43°58,871‘","20°34,024‘","530 1 Kraljevo","Šumadija"
"903","Stanimirova glava","Ješevac","654","43°58,181‘","20°33,897‘","530 1 Kraljevo","Šumadija"
"904","Siljevica","Ješevac","606","43°58,570‘","20°36,429‘","530 1 Kraljevo","Šumadija"
"905","Redžovica krš","Ješevac","583","43°55,307‘","20°35,978‘","530 1 Kraljevo","Šumadija"
"906","Boracki vrh","Ješevac","564","43°56,694‘","20°35,880‘","530 1 Kraljevo","Šumadija"
"907","Klik Becevicki","Ješevac","549","43°59,030‘","20°38,203‘","530 1 Kraljevo","Šumadija"
"908","Boracki krš","Ješevac","515","43°57,880‘","20°36,531‘","530 1 Kraljevo","Šumadija"
"909","Veliki Vetren","Juhor","775","43°48,716‘","21°16,196‘","531 2 Kruševac","Šumadija"
"910","Mali Vetren","Juhor","735","43°48,423‘","21°15,630‘","530 2 Kraljevo","Šumadija"
"911","Lipovica","Juhor","712","43°48,487‘","21°15,316‘","531 2 Kruševac","Šumadija"
"912","(Šarovljeva kosa)","Juhor","709","43°50,144‘","21°15,885‘","531 2 Kruševac","Šumadija"
"913","Odžinac","Juhor","692","43°52,220‘","21°16,270‘","530 2 Kraljevo","Šumadija"
"914","Cvetkov grob","Juhor","689","43°49,887‘","21°15,981‘","531 2 Kruševac","Šumadija"
"915","Bukovica","Juhor","687","43°47,172‘","21°14,342‘","530 1 Kraljevo","Šumadija"
"916","Bukovica","Juhor","686","43°47,173‘","21°14,341‘","531 1 Kruševac","Šumadija"
"917","Zmajevica","Juhor","686","43°47,783‘","21°15,566‘","531 2 Kruševac","Šumadija"
"918","Dobra voda","Juhor","686","43°50,527‘","21°15,955‘","530 2 Kraljevo","Šumadija"
"919","Oštra glava","Juhor","622","43°51,159‘","21°16,678‘","531 2 Kruševac","Šumadija"
"920","Gradište","Juhor","583","43°46,408‘","21°14,034‘","531 1 Kruševac","Šumadija"
"921","Veliki Jelenjak","Juhor","575","43°48,080‘","21°13,380‘","530 1 Kraljevo","Šumadija"
"922","Cepani kamen","Juhor","567","43°52,637‘","21°16,832‘","531 2 Kruševac","Šumadija"
"923","Medveda glava","Juhor","567","43°50,373‘","21°17,032‘","531 2 Kruševac","Šumadija"
"924","Mali Jelenjak","Juhor","528","43°48,599‘","21°12,897‘","531 1 Kruševac","Šumadija"
"925","Prodanovica","Juhor","503","43°50,546‘","21°13,451‘","530 1 Kraljevo","Šumadija"
"926","Kosmaj","Kosmaj","626","44°27,952‘","20°34,128‘","480 1 Kragujevac","Šumadija"
"927","Beli kamen","Kosmaj","546","44°28,563‘","20°34,955‘","480 1 Kragujevac","Šumadija"
"928","Veliki vrh","Kotlenik","749","43°50,607‘","20°41,053‘","530 1 Kraljevo","Šumadija"
"929","Nedovka","Kotlenik","713","43°49,129‘","20°42,663‘","530 1 Kraljevo","Šumadija"
"930","Orlovo","Kotlenik","666","43°49,662‘","20°41,687‘","530 1 Kraljevo","Šumadija"
"931","Metaljka","Kotlenik","657","43°48,994‘","20°43,738‘","530 1 Kraljevo","Šumadija"
"932","Velike livade","Kotlenik","645","43°50,640‘","20°42,791‘","530 1 Kraljevo","Šumadija"
"933","Veliko brdo","Kotlenik","634","43°51,908‘","20°42,709‘","530 1 Kraljevo","Šumadija"
"934","Medina kosa","Kotlenik","596","43°47,281‘","20°43,410‘","530 1 Kraljevo","Šumadija"
"935","Velika gradina","Kotlenik","591","43°48,502‘","20°40,807‘","530 1 Kraljevo","Šumadija"
"936","Bumbarevo brdo","Kotlenik","588","43°46,337‘","20°45,423‘","530 2 Kraljevo","Šumadija"
"937","Veliki Šturac (Cvijicev vrh)","Rudnik","1132","44°07,867‘","20°32,737‘","480 3 Kragujevac","Šumadija"
"938","Srednji Šturac","Rudnik","1113","44°07,722‘","20°31,857‘","480 3 Kragujevac","Šumadija"
"939","Javor","Rudnik","1107","44°07,339‘","20°33,361‘","480 3 Kragujevac","Šumadija"
"940","Molitve","Rudnik","1096","44°06,916‘","20°33,490‘","480 3 Kragujevac","Šumadija"
"941","Banetov vrh","Rudnik","1089","44°07,696‘","20°33,368‘","482 3 Kragujevac","Šumadija"
"942","Mali Šturac","Rudnik","1058","44°07,922‘","20°31,431‘","483 3 Kragujevac","Šumadija"
"943","Paljevine","Rudnik","1052","44°08,099‘","20°33,774‘","481 3 Kragujevac","Šumadija"
"944","Marjanac","Rudnik","1029","44°08,301‘","20°32,567‘","484 3 Kragujevac","Šumadija"
"945","Tavan","Rudnik","1007","44°08,913‘","20°34,202‘","480 3 Kragujevac","Šumadija"
"946","Javor","Rudnik","927","44°08,719‘","20°32,337‘","480 3 Kragujevac","Šumadija"
"947","Kurjak","Rudnik","924","44°09,363‘","20°33,933‘","480 3 Kragujevac","Šumadija"
"948","Suvi grmovi","Rudnik","920","44°05,504‘","20°32,725‘","480 3 Kragujevac","Šumadija"
"949","Veliki laz","Rudnik","909","44°04,892‘","20°33,061‘","480 3 Kragujevac","Šumadija"
"950","Sama bukva","Rudnik","863","44°06,464‘","20°35,925‘","480 3 Kragujevac","Šumadija"
"951","Gradina","Rudnik","830","44°04,463‘","20°33,359‘","480 3 Kragujevac","Šumadija"
"952","Garevica","Rudnik","829","44°08,151‘","20°35,745‘","480 3 Kragujevac","Šumadija"
"953","Ramacki visovi","Rudnik","813","44°06,455‘","20°40,310‘","480 3 Kragujevac","Šumadija"
"954","Božurova glava","Rudnik","723","44°05,974‘","20°39,139‘","480 3 Kragujevac","Šumadija"
"955","Brakovica brdo","Rudnik","606","44°02,718‘","20°34,128‘","480 3 Kragujevac","Šumadija"
"956","Gornji Vucjak","Rudnik","582","44°07,625‘","20°43,781‘","480 3 Kragujevac","Šumadija"
"957","Jelenac","Rudnik","570","44°08,571‘","20°41,585‘","480 3 Kragujevac","Šumadija"
"958","Glavica","Rudnik","538","44°10,690‘","20°35,303‘","480 3 Kragujevac","Šumadija"
"959","Kovilovica","Rudnik","525","44°08,426‘","20°42,790‘","480 3 Kragujevac","Šumadija"
"960","Ostrovica","Rudnik (Zagrade)","758","44°10,136‘","20°27,943‘","479 4 Lazarevac","Šumadija"
"961","Krš","Rudnik (Zagrade)","620","44°10,601‘","20°27,126‘","479 4 Lazarevac","Šumadija"
"962","Gradska gora","Rudnik (Zagrade)","619","44°11,254‘","20°26,484‘","479 4 Lazarevac","Šumadija"
"963","Popovo brdo","Rudnik (Zagrade)","552","44°11,143‘","20°25,575‘","479 4 Lazarevac","Šumadija"
"964","Vencac","Vencac","659","44°15,759‘","20°35,893‘","480 1 Kragujevac","Šumadija"
"965","Veliki Vujan","Vujan","856","43°58,457‘","20°28,248‘","529 2 Cacak","Šumadija"
"966","Mali Vujan","Vujan","745","43°58,931‘","20°27,667‘","529 2 Cacak","Šumadija"
"967","Cuvik","Vujan","683","43°57,856‘","20°28,619‘","529 2 Cacak","Šumadija"
"968","Koviljaca","Vujan","529","43°59,447‘","20°26,462‘","529 2 Cacak","Šumadija"
"969","Coka Kormaroš","(Bor)","644","44° 05,908' N","22° 03,548' E","483 3 Bor","Istocna S."
"970","Strikovac","(Bovanska klisura)","550","43° 38,368' N","21° 44,449' E","532 3 Aleksinac","Istocna S."
"971","Tilva Njagra","(Brestovacka Banja)","770","44° 04,448' N","22° 00,037' E","483 3 Bor","Istocna S."
"972","Rudina","(Brestovacka Banja)","518","44° 02,177' N","22° 03,187' E","483 3 Bor","Istocna S."
"973","Lazino brdo","(Dimitrovgrad, Gornja Nevlja)","844","42°53,960‘","22°45,483‘","634 2 Breznik","I gr.BG"
"974","Rudine","(Dimitrovgrad, Gornja Nevlja)","841","42°54,658‘","22°45,952‘","634 2 Breznik","I gr.BG"
"975","Kobiljaca","(Kalna, Jalovik-Izvor)","856","43°22,472‘","22°23,764‘","583 2 Bela palanka","Istocna S."
"976","Sekino gramade","(Kalna, Jalovik-Izvor)","826","43°23,095‘","22°21,893‘","583 2 Bela palanka","Istocna S."
"977","Vrlejica","(Knjaževac)","931","43°33,488‘","22°06,481‘","533 3 Zajecar","Istocna S."
"978","Tumba","(Knjaževac)","912","43°36,406‘","22°05,454‘","533 3 Zajecar","Istocna S."
"979","Kavasale","(Krivelj)","602","44° 08,140' N","22° 07,071' E","483 3 Bor","Istocna S."
"980","Tilva Bajkule","(Krivelj)","593","44° 06,934' N","22° 08,535' E","483 3 Bor","Istocna S."
"981","Coka Nalta","(Krivelj)","582","44° 06,988' N","22° 05,414' E","483 3 Bor","Istocna S."
"982","Coka Kokonja","(Majdanpek)","625","44° 20,109' N","21° 58,938' E","482 2 Žagubica","Istocna S."
"983","Kraku Fecimar","(Majdanpek)","624","44° 29,435' N","21° 52,126' E","482 2 Žagubica","Istocna S."
"984","Kulmea Kadžije","(Majdanpek)","618","44° 23,311' N","21° 57,790' E","482 2 Žagubica","Istocna S."
"985","Coka Panjaca","(Majdanpek)","608","44° 19,168' N","21° 57,325' E","482 2 Žagubica","Istocna S."
"986","Jelenova cuka","(Majdanpek)","603","44° 20,384' N","21° 55,914' E","482 2 Žagubica","Istocna S."
"987","Markov krak","(Majdanpek)","585","44° 24,500' N","21° 57,305' E","482 2 Žagubica","Istocna S."
"988","Kulmea Lomit","(Majdanpek)","581","44° 20,941' N","21° 57,599' E","482 2 Žagubica","Istocna S."
"989","Coka Ljupljaska","(Majdanpek)","556","44° 22,916' N","21° 56,657' E","482 2 Žagubica","Istocna S."
"990","Kalafat","(Niš) Kalafat","838","43°23,813‘","21°59,420‘","582 2 Niš","Istocna S."
"991","Kamenicka karaula","(Niš) Kalafat","783","43°24,663‘","21°58,034‘","582 2 Niš","Istocna S."
"992","Temeni vrh","(Niš) Kalafat","730","43°23,093‘","21°58,168‘","582 2 Niš","Istocna S."
"993","Crni vrh","(Niš, G. Toponica)","685","43°24,571‘","21°52,935‘","582 2 Niš","Istocna S."
"994","Kamenicki vis","(Niš, Kamenica)","814","43°24,242‘","21°57,183‘","582 2 Niš","Istocna S."
"995","Ljuti vrh","(Niš, Kravlje)","783","43°26,599‘","21°56,781‘","582 2 Niš","Istocna S."
"996","Debeli vrh","(Niš, Kravlje)","745","43°26,641‘","21°55,095‘","582 2 Niš","Istocna S."
"997","Bašalovac","(Niš, Leskovik)","707","43°25,243‘","21°54,390‘","582 2 Niš","Istocna S."
"998","Bršljanica","(Niš, Popšica)","578","43°29,313‘","21°56,724‘","582 2 Niš","Istocna S."
"999","Randelova kosa","(Paracin, Sveta Petka)","669","43° 51,861' N","21° 39,905' E","532 1 Aleksinac","Istocna S."
"1000","Vrletnica","(Paracin, Sveta Petka)","646","43° 50,409' N","21° 38,455' E","532 1 Aleksinac","Istocna S."
"1001","Tatarcevo","(Paracin, Sveta Petka)","504","43° 51,296' N","21° 37,818' E","532 1 Aleksinac","Istocna S."
"1002","Visoka stena","(Plužina, Svrljig)","763","43°27,598‘","22°03,370‘","583 1 Bela palanka","Istocna S."
"1003","Mali vrh","(Plužina, Svrljig)","664","43°27,782‘","22°05,691‘","583 1 Bela palanka","Istocna S."
"1004","V. Negovica","(Sokobanja, Jošanica)","667","43° 44,084' N","21° 47,300' E","532 4 Aleksinac","Istocna S."
"1005","M. Negovica","(Sokobanja, Jošanica)","619","43° 43,715' N","21° 48,016' E","532 4 Aleksinac","Istocna S."
"1006","Sedi vrh","(Subotinac, Aleksinac)","813","43° 36,148' N","21° 44,502' E","532 3 Aleksinac","Istocna S."
"1007","Coka Bacila","(Vlaole)","696","44° 16,062' N","21° 56,780' E","482 2 Žagubica","Istocna S."
"1008","Mecje bare","(Žagubica)","804","44° 10,199' N","21° 47,490' E","482 4 Žagubica","Istocna S."
"1009","Podkrš","(Žagubica)","512","44° 11,405' N","21° 49,111' E","482 4 Žagubica","Istocna S."
"1010","","Baba","657","43° 49,770' N","21° 33,627' E","532 1 Aleksinac","Istocna S."
"1011","Preslo","Baba","600","43° 50,664' N","21° 32,966' E","532 1 Aleksinac","Istocna S."
"1012","Mala Baba","Baba","501","49°49,086‘","21°33,894‘","532 1 Aleksinac","Istocna S."
"1013","Beljanica (Velika kapa)","Beljanica","1339","44° 06,697' N","21° 42,300' E","482 3 Žagubica","Istocna S."
"1014","","Beljanica","1329","44° 07,079' N","21° 43,036' E","482 3 Žagubica","Istocna S."
"1015","Beljanicka kapa","Beljanica","1285","44° 06,833' N","21° 44,130' E","482 3 Žagubica","Istocna S."
"1016","","Beljanica","1223","44° 06,131' N","21° 48,376' E","482 4 Žagubica","Istocna S."
"1017","Recicki vrh","Beljanica","1183","44° 08,207' N","21° 40,726' E","482 3 Žagubica","Istocna S."
"1018","Stenjkin kamen","Beljanica","1158","44° 08,270' N","21° 45,575' E","482 4 Žagubica","Istocna S."
"1019","Jelova k.","Beljanica","1158","44° 05,580' N","21° 45,299' E","482 4 Žagubica","Istocna S."
"1020","Sokolica","Beljanica","1144","44° 07,096' N","21° 36,135' E","482 3 Žagubica","Istocna S."
"1021","V. Bojna","Beljanica","1085","44° 08,783' N","21° 41,940' E","482 3 Žagubica","Istocna S."
"1022","","Beljanica","1084","44° 07,252' N","21° 38,362' E","482 3 Žagubica","Istocna S."
"1023","Požerak","Beljanica","1049","44° 02,148' N","21° 40,091' E","482 3 Žagubica","Istocna S."
"1024","Srednja kosa","Beljanica","1042","44° 05,753' N","21° 43,262' E","482 3 Žagubica","Istocna S."
"1025","Kunjacko brdo","Beljanica","1030","44° 02,733' N","21° 40,648' E","482 3 Žagubica","Istocna S."
"1026","V. Glava","Beljanica","1029","44° 09,104' N","21° 43,665' E","482 3 Žagubica","Istocna S."
"1027","Kraku Ursuli","Beljanica","1026","44° 05,657' N","21° 47,426' E","482 4 Žagubica","Istocna S."
"1028","Rasovaca","Beljanica","1013","44° 07,901' N","21° 38,255' E","482 3 Žagubica","Istocna S."
"1029","","Beljanica","1012","44° 08,343' N","21° 39,110' E","482 3 Žagubica","Istocna S."
"1030","Veliks strana","Beljanica","1012","44° 07,230' N","21° 47,050' E","482 4 Žagubica","Istocna S."
"1031","V. Kljanc","Beljanica","1004","44° 01,070' N","21° 41,705' E","482 3 Žagubica","Istocna S."
"1032","Faca","Beljanica","994","44° 03,791' N","21° 44,051' E","482 3 Žagubica","Istocna S."
"1033","Becarska glava","Beljanica","968","44° 06,392' N","21° 46,626' E","482 4 Žagubica","Istocna S."
"1034","Mecina","Beljanica","966","44° 08,343' N","21° 39,110' E","482 3 Žagubica","Istocna S."
"1035","Oštri vrh","Beljanica","957","44° 09,499' N","21° 39,849' E","482 3 Žagubica","Istocna S."
"1036","Ostrec","Beljanica","954","44° 03,679' N","21° 42,313' E","482 3 Žagubica","Istocna S."
"1037","Golovršac","Beljanica","951","44° 06,056' N","21° 40,447' E","482 3 Žagubica","Istocna S."
"1038","Ðula","Beljanica","936","44° 09,591' N","21° 49,080' E","482 4 Žagubica","Istocna S."
"1039","Jelovacka aršica","Beljanica","917","44° 03,113' N","21° 43,116' E","482 3 Žagubica","Istocna S."
"1040","Recke glave","Beljanica","914","44° 07,777' N","21° 48,451' E","482 4 Žagubica","Istocna S."
"1041","Šiljata glava","Beljanica","881","44° 09,216' N","21° 47,013' E","482 4 Žagubica","Istocna S."
"1042","Stenceta glava","Beljanica","872","44° 09,088' N","21° 45,716' E","482 4 Žagubica","Istocna S."
"1043","Kosicka","Beljanica","863","44° 07,123' N","21° 36,943' E","482 3 Žagubica","Istocna S."
"1044","Veliki Antrvelj","Beljanica","846","44° 00,986' N","21° 40,074' E","482 3 Žagubica","Istocna S."
"1045","M. Pat","Beljanica","830","44° 04,875' N","21° 41,662' E","482 3 Žagubica","Istocna S."
"1046","Ledeni vrh","Beljanica","823","44° 09,682' N","21° 45,361' E","482 4 Žagubica","Istocna S."
"1047","Ciganska glava","Beljanica","817","44° 08,234' N","21° 49,828' E","482 4 Žagubica","Istocna S."
"1048","V. Smrdanski vrh","Beljanica","816","44° 09,403' N","21° 38,042' E","482 3 Žagubica","Istocna S."
"1049","Cukara","Beljanica","795","44° 07,682' N","21° 36,683' E","482 3 Žagubica","Istocna S."
"1050","V. Pat","Beljanica","769","44° 04,732' N","21° 43,062' E","482 3 Žagubica","Istocna S."
"1051","Koviljarac","Beljanica","753","44° 05,230' N","21° 37,702' E","482 3 Žagubica","Istocna S."
"1052","Cerjak","Beljanica","695","44° 05,635' N","21° 39,584' E","482 3 Žagubica","Istocna S."
"1053","Babina glava","Beljanica","685","44° 04,722' N","21° 38,176' E","482 3 Žagubica","Istocna S."
"1054","Veliki vrh","Beljanica","664","44° 03,454' N","21° 33,128' E","482 3 Žagubica","Istocna S."
"1055","Cukara","Beljanica","642","44° 04,369' N","21° 38,502' E","482 3 Žagubica","Istocna S."
"1056","Navarska glava","Beljanica","640","44° 09,027' N","21° 37,244' E","482 3 Žagubica","Istocna S."
"1057","Jelovacki krš","Beljanica","621","44° 05,537' N","21° 39,509' E","482 3 Žagubica","Istocna S."
"1058","Jarcevac","Beljanica","600","44° 08,168' N","21° 49,643' E","482 3 Žagubica","Istocna S."
"1059","Oštri vrh","Beljanica","600","44° 03,728' N","21° 32,478' E","482 3 Žagubica","Istocna S."
"1060","Cukarica","Beljanica","586","44° 07,067' N","21° 34,974' E","482 3 Žagubica","Istocna S."
"1061","Oštri vrh","Beljanica","514","44° 08,682' N","21° 30,571' E","482 3 Žagubica","Istocna S."
"1062","Belo brdo","Beljanica","504","44° 05,470' N","21° 33,943' E","482 3 Žagubica","Istocna S."
"1063","Bukova poljana","Bukovik","894","43° 41,514' N","21° 38,455' E","532 3 Aleksinac","Istocna S."
"1064","Drenova glava","Bukovik","700","43° 42,184' N","21° 37,705' E","532 3 Aleksinac","Istocna S."
"1065","Crni vrh","Crni vrh","1043","44° 07,801' N","21° 58,190' E","482 4 Žagubica","Istocna S."
"1066","Tilva ku Banderi","Crni vrh","1028","44° 07,336' N","21° 57,348' E","483 3 Žagubica","Istocna S."
"1067","Golo brdo","Crni vrh","928","44° 08,884' N","21° 57,794' E","482 4 Žagubica","Istocna S."
"1068","M. Tilve","Crni vrh, (Krivelj)","821","44° 08,579' N","22° 01,103' E","483 3 Bor","Istocna S."
"1069","V. Tilve","Crni vrh, (Krivelj)","786","44° 08,537' N","22° 01,758' E","483 3 Bor","Istocna S."
"1070","Klokociš","Crni vrh, (Krivelj)","754","44° 08,896' N","22° 00,016' E","483 3 Bor","Istocna S."
"1071","Coka Preda","Crni vrh, (Krivelj)","706","44° 07,049' N","22° 01,700' E","483 3 Bor","Istocna S."
"1072","Coka Corban","Crni vrh, (Krivelj)","673","44° 09,379' N","22° 00,251' E","483 3 Bor","Istocna S."
"1073","Coka Stan","Crni vrh, (Krivelj)","577","44° 09,477' N","22° 01,417' E","483 3 Bor","Istocna S."
"1074","Coka Curuli","Crni vrh, (Krivelj)","532","44° 07,858' N","22° 03,942' E","483 3 Bor","Istocna S."
"1075","Crni vrh","Deli Jovan","1141","44° 13,216' N","22° 13,368' E","483 3 Bor","Istocna S."
"1076","Crni vrh","Deli Jovan","1137","44° 13,568' N","22° 13,672' E","483 3 Bor","Istocna S."
"1077","V. Goli vrh","Deli Jovan","1037","44° 15,179' N","22° 12,759' E","483 1 Bor","Istocna S."
"1078","","Deli Jovan","1027","44° 14,729' N","22° 12,990' E","483 3 Bor","Istocna S."
"1079","V. Deli Jovan","Deli Jovan","973","44° 11,865' N","22° 14,626' E","483 3 Bor","Istocna S."
"1080","M. Goli vrh","Deli Jovan","849","44° 15,737' N","22° 11,808' E","483 1 Bor","Istocna S."
"1081","Mala Glava","Deli Jovan","831","44° 14,796' N","22° 13,761' E","483 3 Bor","Istocna S."
"1082","Crna Glava","Deli Jovan","809","44° 13,736' N","22° 14,754' E","483 3 Bor","Istocna S."
"1083","Kosa","Deli Jovan","778","44° 10,314' N","22° 15,875' E","483 4 Bor","Istocna S."
"1084","Vucja glava","Deli Jovan","732","44° 13,249' N","22° 15,010' E","483 4 Bor","Istocna S."
"1085","Pripor","Deli Jovan","725","44° 16,929' N","22° 12,353' E","483 1 Bor","Istocna S."
"1086","V. Tilva","Deli Jovan","703","44° 371405' N","22° 13,605' E","483 3 Bor","Istocna S."
"1087","Presla","Deli Jovan","702","44° 11,007' N","22° 14,749' E","483 3 Bor","Istocna S."
"1088","M. Deli Jovan","Deli Jovan","693","44° 11,759' N","22° 16,014' E","483 4 Bor","Istocna S."
"1089","Tiva Medveda","Deli Jovan","636","44° 18,668' N","22° 11,976' E","483 1 Bor","Istocna S."
"1090","Coka lu Berlan","Deli Jovan","636","44° 17,869' N","22° 12,021' E","483 1 Bor","Istocna S."
"1091","Tilva","Deli Jovan","635","44° 09,065' N","22° 17,132' E","483 4 Bor","Istocna S."
"1092","Kruškovac","Deli Jovan","626","44° 10,054' N","22° 16,807' E","483 4 Bor","Istocna S."
"1093","Coka Mika","Deli Jovan","605","44° 15,127' N","22° 11,318' E","483 1 Bor","Istocna S."
"1094","Šeget","Deli Jovan","603","44° 16,886' N","22° 13,267' E","483 1 Bor","Istocna S."
"1095","Kraku Mošuli","Deli Jovan","589","44° 17,524' N","22° 12,973' E","483 1 Bor","Istocna S."
"1096","Kraku Gord","Deli Jovan","579","44° 15,994' N","22° 13,106' E","483 1 Bor","Istocna S."
"1097","Simicevo brdo","Deli Jovan","555","44° 15,563' N","22° 14,244' E","483 1 Bor","Istocna S."
"1098","Cjoka Njalta","Ðerdap","668","44° 35,125' N","21° 00,762' E","433 3 Oršava","Istocna S."
"1099","Kornovski vis","Ðerdap","632","44° 36,705' N","21° 48,168' E","432 4 Veliko Gradište","Istocna S."
"1100","Sokolovac","Ðerdap","626","44° 35,655' N","21° 00,027' E","433 3 Oršava","Istocna S."
"1101","Kulmea Grije","Ðerdap","622","44° 33,472' N","21° 51,932' E","432 4 Veliko Gradište","Istocna S."
"1102","Freseniš","Ðerdap","621","44° 30,160' N","21° 51,082' E","432 4 Veliko Gradište","Istocna S."
"1103","Glavcina","Ðerdap","551","44° 30,248' N","21° 01,566' E","433 3 Oršava","Istocna S."
"1104","Kulmea Albinje","Ðerdap","541","44° 31,451' N","21° 50,676' E","432 4 Veliko Gradište","Istocna S."
"1105","Strnjak","Ðerdap","539","44° 36,853' N","21° 45,303' E","432 4 Veliko Gradište","Istocna S."
"1106","Capljinac","Devica","1187","43° 35,618' N","21° 56,334' E","532 4 Aleksinac","Istocna S."
"1107","Visoki vrh","Devica","1172","43° 36,410' N","21° 55,839' E","532 4 Aleksinac","Istocna S."
"1108","Gola cuka","Devica","1138","43° 36,542' N","21° 57,854' E","532 4 Aleksinac","Istocna S."
"1109","Ledenica","Devica","1106","43° 35,900' N","21° 57,704' E","532 4 Aleksinac","Istocna S."
"1110","Aleksin kamen","Devica","1100","43° 35,734' N","21° 55,107' E","532 4 Aleksinac","Istocna S."
"1111","Kulina","Devica","1089","43° 35,185' N","21° 59,260' E","532 4 Aleksinac","Istocna S."
"1112","","Devica","1063","43° 36,282' N","21° 54,564' E","532 4 Aleksinac","Istocna S."
"1113","Vesino","Devica","1058","43° 36,639' N","21° 58,972' E","532 4 Aleksinac","Istocna S."
"1114","Spasicevo","Devica","1017","43° 35,727' N","21° 59,623' E","532 4 Aleksinac","Istocna S."
"1115","Golemi del","Devica","998","43° 34,030' N","21° 58,162' E","532 4 Aleksinac","Istocna S."
"1116","","Devica","988","43° 36,539' N","22° 00,044' E","533 3 Zajecar","Istocna S."
"1117","Okonica","Devica","974","43° 34,151' N","22° 00,852' E","533 3 Zajecar","Istocna S."
"1118","Golemi vrh","Devica","951","43° 32,950' N","22° 01,732' E","533 3 Zajecar","Istocna S."
"1119","Grozdinski kamne","Devica","942","43° 36,980' N","22° 00,340' E","533 3 Zajecar","Istocna S."
"1120","Goli vrh","Devica","941","43° 32,606' N","22° 02,777' E","533 3 Zajecar","Istocna S."
"1121","Busarnik","Devica","938","43° 35,995' N","22° 01,035' E","533 3 Zajecar","Istocna S."
"1122","Vrlejica","Devica","931","43° 33,503' N","22° 06,503' E","533 3 Zajecar","Istocna S."
"1123","Jerebici del","Devica","913","43° 37,771' N","21° 55,677' E","532 4 Aleksinac","Istocna S."
"1124","Debeli rt","Devica","896","43° 33,710' N","22° 00,409' E","533 3 Zajecar","Istocna S."
"1125","Odenac","Devica","881","43° 32,428' N","22° 05,811' E","533 3 Zajecar","Istocna S."
"1126","Stojin vrh","Devica","866","43° 37,249' N","21° 59,373' E","532 4 Aleksinac","Istocna S."
"1127","Visoka planina","Devica","865","43° 32,610' N","22° 06,820' E","533 3 Zajecar","Istocna S."
"1128","Žeženovac","Devica","864","43° 32,247' N","22° 00,314' E","533 3 Zajecar","Istocna S."
"1129","Planinica","Devica","850","43° 34,184' N","22° 05,081' E","533 3 Zajecar","Istocna S."
"1130","Zdravci kamen","Devica","832","43° 31,759' N","22° 00,365' E","533 3 Zajecar","Istocna S."
"1131","Drenov kljuc","Devica","801","43° 34,708' N","22° 03,186' E","533 3 Zajecar","Istocna S."
"1132","Varnicki vrh","Devica","722","43° 31,690' N","22° 07,701' E","533 3 Zajecar","Istocna S."
"1133","Cimin kosak","Devica","721","43° 35,579' N","22° 03,300' E","533 3 Zajecar","Istocna S."
"1134","Crno Trnje","Devica","690","43° 36,044' N","22° 02,363' E","533 3 Zajecar","Istocna S."
"1135","Momin kamen","Devica","689","43° 37,122' N","22° 01,583' E","533 3 Zajecar","Istocna S."
"1136","Petrova cuka","Devica","609","43° 37,693' N","22° 00,758' E","533 3 Zajecar","Istocna S."
